ID qu?n huy?n,ID t?nh thành,??n v?,Tên Qu?n huy?n,Tên ??y ??,,,,,,,,,,,,,,,,,,,,
206,31,Huy?n,Gi?ng Ri?ng,"Huy?n Gi?ng Ri?ng, Kiên Giang",,,,,,,,,,,,,,,,,,,,
207,31,Huy?n,Gò Quao,"Huy?n Gò Quao, Kiên Giang",,,,,,,,,,,,,,,,,,,,
208,31,Thành ph?,Thành ph? Hà Tiên,"Thành ph? Hà Tiên, Kiên Giang",,,,,,,,,,,,,,,,,,,,
209,31,Huy?n,Hòn ??t,"Huy?n Hòn ??t, Kiên Giang",,,,,,,,,,,,,,,,,,,,
210,31,Huy?n,Kiên H?i,"Huy?n Kiên H?i, Kiên Giang",,,,,,,,,,,,,,,,,,,,
211,31,Huy?n,Kiên L??ng,"Huy?n Kiên L??ng, Kiên Giang",,,,,,,,,,,,,,,,,,,,
212,31,Thành ph?,Thành ph? Phú Qu?c,"Thành ph? Phú Qu?c, Kiên Giang",,,,,,,,,,,,,,,,,,,,
213,31,Thành ph?,R?ch Giá,"Thành ph? R?ch Giá, Kiên Giang",,,,,,,,,,,,,,,,,,,,
214,31,Huy?n,Tân Hi?p,"Huy?n Tân Hi?p, Kiên Giang",,,,,,,,,,,,,,,,,,,,
215,31,Huy?n,U minh Th??ng,"Huy?n U Minh Th??ng, Kiên Giang",,,,,,,,,,,,,,,,,,,,
216,31,Huy?n,V?nh Thu?n,"Huy?n V?nh Thu?n, Kiên Giang",,,,,,,,,,,,,,,,,,,,
217,6,Thành ph?,B?c Ninh,"Thành ph? B?c Ninh, B?c Ninh",,,,,,,,,,,,,,,,,,,,
218,6,Huy?n,Gia Bình,"Huy?n Gia Bình, B?c Ninh",,,,,,,,,,,,,,,,,,,,
219,6,Huy?n,L??ng Tài,"Huy?n L??ng Tài, B?c Ninh",,,,,,,,,,,,,,,,,,,,
220,6,Huy?n,Qu? Võ,"Huy?n Qu? Võ, B?c Ninh",,,,,,,,,,,,,,,,,,,,
221,6,Huy?n,Thu?n Thành,"Huy?n Thu?n Thành, B?c Ninh",,,,,,,,,,,,,,,,,,,,
222,6,Huy?n,Tiên Du,"Huy?n Tiên Du, B?c Ninh",,,,,,,,,,,,,,,,,,,,
223,6,Thành ph?,Thành ph? T? S?n,"Thành ph? T? S?n, B?c Ninh",,,,,,,,,,,,,,,,,,,,
224,6,Huy?n,Yên Phong,"Huy?n Yên Phong, B?c Ninh",,,,,,,,,,,,,,,,,,,,
225,47,Huy?n,Ba Ch?,"Huy?n Ba Ch?, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
226,47,Huy?n,Bình Liêu,"Huy?n Bình Liêu, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
227,47,Thành ph?,C?m Ph?,"Thành ph? C?m Ph?, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
228,47,Huy?n,Cô Tô,"Huy?n Cô Tô, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
229,47,Huy?n,??m Hà,"Huy?n ??m Hà, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
230,47,Th? xã,?ông Tri?u,"Th? xã ?ông Tri?u, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
231,47,Thành ph?,H? Long,"Thành ph? H? Long, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
232,47,Huy?n,H?i Hà,"Huy?n H?i Hà, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
234,47,Thành ph?,Móng Cái,"Thành ph? Móng Cái, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
235,47,Th? xã,Qu?ng Yên,"Th? xã Qu?ng Yên, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
236,47,Huy?n,Tiên Yên,"Huy?n Tiên Yên, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
237,47,Thành ph?,Thành ph? Uông Bí,"Thành ph? Uông Bí, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
238,47,Huy?n,Vân ??n,"Huy?n Vân ??n, Qu?ng Ninh",,,,,,,,,,,,,,,,,,,,
239,54,Huy?n,Bá Th??c,"Huy?n Bá Th??c, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
240,54,Th? xã,B?m S?n,"Th? xã B?m S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
241,54,Huy?n,C?m Th?y,"Huy?n C?m Th?y, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
242,54,Huy?n,?ông S?n,"Huy?n ?ông S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
243,54,Huy?n,Hà Trung,"Huy?n Hà Trung, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
244,54,Huy?n,H?u L?c,"Huy?n H?u L?c, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
245,54,Huy?n,Ho?ng Hóa,"Huy?n Ho?ng Hóa, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
246,54,Huy?n,Lang Chánh,"Huy?n Lang Chánh, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
247,54,Huy?n,M??ng Lát,"Huy?n M??ng Lát, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
248,54,Huy?n,Nga S?n,"Huy?n Nga S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
249,54,Huy?n,Ng?c L?c,"Huy?n Ng?c L?c, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
250,54,Huy?n,Nh? Thanh,"Huy?n Nh? Thanh, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
251,54,Huy?n,Nh? Xuân,"Huy?n Nh? Xuân, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
252,54,Huy?n,Nông C?ng,"Huy?n Nông C?ng, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
253,54,Huy?n,Quan Hóa,"Huy?n Quan Hóa, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
254,54,Huy?n,Quan S?n,"Huy?n Quan S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
255,54,Huy?n,Qu?ng X??ng,"Huy?n Qu?ng X??ng, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
256,54,Thành ph?,S?m S?n,"Thành ph? S?m S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
257,54,Huy?n,Th?ch Thành,"Huy?n Th?ch Thành, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
258,54,Thành ph?,Thanh Hóa,"Thành ph? Thanh Hóa, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
259,54,Huy?n,Thi?u Hóa,"Huy?n Thi?u Hóa, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
260,54,Huy?n,Th? Xuân,"Huy?n Th? Xuân, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
261,54,Huy?n,Th??ng Xuân,"Huy?n Th??ng Xuân, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
262,54,Th? xã,Nghi S?n,"Th? xã Nghi S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
263,54,Huy?n,Tri?u S?n,"Huy?n Tri?u S?n, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
264,54,Huy?n,V?nh L?c,"Huy?n V?nh L?c, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
265,54,Huy?n,Yên ??nh,"Huy?n Yên ??nh, Thanh Hoá",,,,,,,,,,,,,,,,,,,,
266,39,Huy?n,Anh S?n,"Huy?n Anh S?n, Ngh? An",,,,,,,,,,,,,,,,,,,,
267,39,Huy?n,Con Cuông,"Huy?n Con Cuông, Ngh? An",,,,,,,,,,,,,,,,,,,,
268,39,Th? xã,C?a Lò,"Th? xã C?a Lò, Ngh? An",,,,,,,,,,,,,,,,,,,,
269,39,Huy?n,Di?n Châu,"Huy?n Di?n Châu, Ngh? An",,,,,,,,,,,,,,,,,,,,
270,39,Huy?n,?ô L??ng,"Huy?n ?ô L??ng, Ngh? An",,,,,,,,,,,,,,,,,,,,
271,39,Th? xã,Hoàng Mai,"Th? xã Hoàng Mai, Ngh? An",,,,,,,,,,,,,,,,,,,,
272,39,Huy?n,H?ng Nguyên,"Huy?n H?ng Nguyên, Ngh? An",,,,,,,,,,,,,,,,,,,,
273,39,Huy?n,K? S?n,"Huy?n K? S?n, Ngh? An",,,,,,,,,,,,,,,,,,,,
274,39,Huy?n,Nam ?àn,"Huy?n Nam ?àn, Ngh? An",,,,,,,,,,,,,,,,,,,,
275,39,Huy?n,Nghi L?c,"Huy?n Nghi L?c, Ngh? An",,,,,,,,,,,,,,,,,,,,
276,39,Huy?n,Ngh?a ?àn,"Huy?n Ngh?a ?àn, Ngh? An",,,,,,,,,,,,,,,,,,,,
277,39,Huy?n,Qu? Phong,"Huy?n Qu? Phong, Ngh? An",,,,,,,,,,,,,,,,,,,,
278,39,Huy?n,Qu? Châu,"Huy?n Qu? Châu, Ngh? An",,,,,,,,,,,,,,,,,,,,
279,39,Huy?n,Qu? H?p,"Huy?n Qu? H?p, Ngh? An",,,,,,,,,,,,,,,,,,,,
280,39,Huy?n,Qu?nh L?u,"Huy?n Qu?nh L?u, Ngh? An",,,,,,,,,,,,,,,,,,,,
281,39,Huy?n,Tân K?,"Huy?n Tân K?, Ngh? An",,,,,,,,,,,,,,,,,,,,
282,39,Th? xã,Thái Hoà,"Th? xã Thái Hoà, Ngh? An",,,,,,,,,,,,,,,,,,,,
283,39,Huy?n,Thanh Ch??ng,"Huy?n Thanh Ch??ng, Ngh? An",,,,,,,,,,,,,,,,,,,,
284,39,Huy?n,T??ng D??ng,"Huy?n T??ng D??ng, Ngh? An",,,,,,,,,,,,,,,,,,,,
285,39,Thành ph?,Vinh,"Thành ph? Vinh, Ngh? An",,,,,,,,,,,,,,,,,,,,
286,39,Huy?n,Yên Thành,"Huy?n Yên Thành, Ngh? An",,,,,,,,,,,,,,,,,,,,
287,25,Huy?n,Bình Giang,"Huy?n Bình Giang, H?i D??ng",,,,,,,,,,,,,,,,,,,,
288,25,Huy?n,C?m Giàng,"Huy?n C?m Giàng, H?i D??ng",,,,,,,,,,,,,,,,,,,,
289,25,Thành ph?,Thành ph? Chí Linh,"Thành ph? Chí Linh, H?i D??ng",,,,,,,,,,,,,,,,,,,,
290,25,Huy?n,Gia L?c,"Huy?n Gia L?c, H?i D??ng",,,,,,,,,,,,,,,,,,,,
291,25,Thành ph?,H?i D??ng,"Thành ph? H?i D??ng, H?i D??ng",,,,,,,,,,,,,,,,,,,,
292,25,Huy?n,Kim Thành,"Huy?n Kim Thành, H?i D??ng",,,,,,,,,,,,,,,,,,,,
293,25,Th? xã,Th? xã Kinh Môn,"Th? xã Kinh Môn, H?i D??ng",,,,,,,,,,,,,,,,,,,,
294,25,Huy?n,Nam Sách,"Huy?n Nam Sách, H?i D??ng",,,,,,,,,,,,,,,,,,,,
295,25,Huy?n,Ninh Giang,"Huy?n Ninh Giang, H?i D??ng",,,,,,,,,,,,,,,,,,,,
296,25,Huy?n,Thanh Hà,"Huy?n Thanh Hà, H?i D??ng",,,,,,,,,,,,,,,,,,,,
297,25,Huy?n,Thanh Mi?n,"Huy?n Thanh Mi?n, H?i D??ng",,,,,,,,,,,,,,,,,,,,
298,25,Huy?n,T? K?,"Huy?n T? K?, H?i D??ng",,,,,,,,,,,,,,,,,,,,
299,19,Th? xã,An Khê,"Th? xã An Khê, Gia Lai",,,,,,,,,,,,,,,,,,,,
300,19,Th? xã,AYun Pa,"Th? xã Ayun Pa, Gia Lai",,,,,,,,,,,,,,,,,,,,
301,19,Huy?n,Ch? P?h,"Huy?n Ch? P?h, Gia Lai",,,,,,,,,,,,,,,,,,,,
302,19,Huy?n,Ch? P?h,"Huy?n Ch? P?h, Gia Lai",,,,,,,,,,,,,,,,,,,,
303,19,Huy?n,Ch? Sê,"Huy?n Ch? Sê, Gia Lai",,,,,,,,,,,,,,,,,,,,
304,19,Huy?n,Ch? Prông,"Huy?n Ch? Prông, Gia Lai",,,,,,,,,,,,,,,,,,,,
305,19,Huy?n,??k ?oa,"Huy?n ??k ?oa, Gia Lai",,,,,,,,,,,,,,,,,,,,
306,19,Huy?n,??k P?,"Huy?n ??k P?, Gia Lai",,,,,,,,,,,,,,,,,,,,
307,19,Huy?n,??c C?,"Huy?n ??c C?, Gia Lai",,,,,,,,,,,,,,,,,,,,
308,19,Huy?n,Ia Grai,"Huy?n Ia Grai, Gia Lai",,,,,,,,,,,,,,,,,,,,
309,19,Huy?n,Ia Pa,"Huy?n Ia Pa, Gia Lai",,,,,,,,,,,,,,,,,,,,
310,19,Huy?n,KBang,"Huy?n KBang, Gia Lai",,,,,,,,,,,,,,,,,,,,
311,19,Huy?n,Kông Chro,"Huy?n Kông Chro, Gia Lai",,,,,,,,,,,,,,,,,,,,
312,19,Huy?n,Krông Pa,"Huy?n Krông Pa, Gia Lai",,,,,,,,,,,,,,,,,,,,
313,19,Huy?n,Mang Yang,"Huy?n Mang Yang, Gia Lai",,,,,,,,,,,,,,,,,,,,
314,19,Huy?n,Phú Thi?n,"Huy?n Phú Thi?n, Gia Lai",,,,,,,,,,,,,,,,,,,,
315,19,Thành ph?,Pleiku,"Thành ph? Pleiku, Gia Lai",,,,,,,,,,,,,,,,,,,,
316,10,Th? xã,Bình Long,"Th? xã Bình Long, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
317,10,Huy?n,Bù ??ng,"Huy?n Bù ??ng, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
318,10,Huy?n,Bù ??p,"Huy?n Bù ??p, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
319,10,Huy?n,Bù Gia M?p,"Huy?n Bù Gia M?p, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
320,10,Th? xã,Ch?n Thành,"Th? xã Ch?n Thành, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
321,10,Huy?n,??ng Phú,"Huy?n ??ng Phú, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
322,10,Thành ph?,??ng Xoài,"Thành ph? ??ng Xoài, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
323,10,Huy?n,H?n Qu?n,"Huy?n H?n Qu?n, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
324,10,Huy?n,L?c Ninh,"Huy?n L?c Ninh, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
325,10,Huy?n,Phú Ri?ng,"Huy?n Phú Ri?ng, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
326,10,Th? xã,Ph??c Long,"Th? xã Ph??c Long, Bình Ph??c",,,,,,,,,,,,,,,,,,,,
327,28,Huy?n,Ân Thi,"Huy?n Ân Thi, H?ng Yên",,,,,,,,,,,,,,,,,,,,
328,28,Thành ph?,H?ng Yên,"Thành ph? H?ng Yên, H?ng Yên",,,,,,,,,,,,,,,,,,,,
329,28,Huy?n,Khoái Châu,"Huy?n Khoái Châu, H?ng Yên",,,,,,,,,,,,,,,,,,,,
330,28,Huy?n,Kim ??ng,"Huy?n Kim ??ng, H?ng Yên",,,,,,,,,,,,,,,,,,,,
331,28,Th? xã,Th? xã M? Hào,"Th? xã M? Hào, H?ng Yên",,,,,,,,,,,,,,,,,,,,
332,28,Huy?n,Phù C?,"Huy?n Phù C?, H?ng Yên",,,,,,,,,,,,,,,,,,,,
333,28,Huy?n,Tiên L?,"Huy?n Tiên L?, H?ng Yên",,,,,,,,,,,,,,,,,,,,
334,28,Huy?n,V?n Giang,"Huy?n V?n Giang, H?ng Yên",,,,,,,,,,,,,,,,,,,,
335,28,Huy?n,V?n Lâm,"Huy?n V?n Lâm, H?ng Yên",,,,,,,,,,,,,,,,,,,,
336,28,Huy?n,Yên M?,"Huy?n Yên M?, H?ng Yên",,,,,,,,,,,,,,,,,,,,
337,9,Huy?n,An Lão,"Huy?n An Lão, Bình ??nh",,,,,,,,,,,,,,,,,,,,
338,9,Th? xã,Th? xã An Nh?n,"Th? xã An Nh?n, Bình ??nh",,,,,,,,,,,,,,,,,,,,
339,9,Huy?n,Hoài Ân,"Huy?n Hoài Ân, Bình ??nh",,,,,,,,,,,,,,,,,,,,
340,9,Th? xã,Th? xã Hoài Nh?n,"Th? xã Hoài Nh?n, Bình ??nh",,,,,,,,,,,,,,,,,,,,
341,9,Huy?n,Phù Cát,"Huy?n Phù Cát, Bình ??nh",,,,,,,,,,,,,,,,,,,,
342,9,Huy?n,Phù M?,"Huy?n Phù M?, Bình ??nh",,,,,,,,,,,,,,,,,,,,
343,9,Thành ph?,Quy Nh?n,"Thành ph? Quy Nh?n, Bình ??nh",,,,,,,,,,,,,,,,,,,,
344,9,Huy?n,Tây S?n,"Huy?n Tây S?n, Bình ??nh",,,,,,,,,,,,,,,,,,,,
345,9,Huy?n,Tuy Ph??c,"Huy?n Tuy Ph??c, Bình ??nh",,,,,,,,,,,,,,,,,,,,
346,9,Huy?n,Vân Canh,"Huy?n Vân Canh, Bình ??nh",,,,,,,,,,,,,,,,,,,,
347,9,Huy?n,V?nh Th?nh,"Huy?n V?nh Th?nh, Bình ??nh",,,,,,,,,,,,,,,,,,,,
348,56,Huy?n,Cái Bè,"Huy?n Cái Bè, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
349,56,Huy?n,Cai L?y,"Huy?n Cai L?y, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
350,56,Huy?n,Châu Thành,"Huy?n Châu Thành, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
351,56,Huy?n,Ch? G?o,"Huy?n Ch? G?o, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
352,56,Th? xã,Gò Công,"Th? xã Gò Công, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
353,56,Huy?n,Gò Công ?ông,"Huy?n Gò Công ?ông, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
354,56,Huy?n,Gò Công Tây,"Huy?n Gò Công Tây, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
355,56,Th? xã,Cai L?y,"Th? xã Cai L?y, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
356,56,Thành ph?,M? Tho,"Thành ph? M? Tho, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
357,56,Huy?n,Tân Phú ?ông,"Huy?n Tân Phú ?ông, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
358,56,Huy?n,Tân Ph??c,"Huy?n Tân Ph??c, Ti?n Giang",,,,,,,,,,,,,,,,,,,,
359,52,Huy?n,?ông H?ng,"Huy?n ?ông H?ng, Thái Bình",,,,,,,,,,,,,,,,,,,,
360,52,Huy?n,H?ng Hà,"Huy?n H?ng Hà, Thái Bình",,,,,,,,,,,,,,,,,,,,
361,52,Huy?n,Ki?n X??ng,"Huy?n Ki?n X??ng, Thái Bình",,,,,,,,,,,,,,,,,,,,
362,52,Huy?n,Qu?nh Ph?,"Huy?n Qu?nh Ph?, Thái Bình",,,,,,,,,,,,,,,,,,,,
363,52,Thành ph?,Thái Bình,"Thành ph? Thái Bình, Thái Bình",,,,,,,,,,,,,,,,,,,,
364,52,Huy?n,Thái Th?y,"Huy?n Thái Th?y, Thái Bình",,,,,,,,,,,,,,,,,,,,
365,52,Huy?n,Ti?n H?i,"Huy?n Ti?n H?i, Thái Bình",,,,,,,,,,,,,,,,,,,,
366,52,Huy?n,V? Th?,"Huy?n V? Th?, Thái Bình",,,,,,,,,,,,,,,,,,,,
367,5,Thành ph?,B?c Giang,"Thành ph? B?c Giang, B?c Giang",,,,,,,,,,,,,,,,,,,,
368,5,Huy?n,Hi?p Hòa,"Huy?n Hi?p Hòa, B?c Giang",,,,,,,,,,,,,,,,,,,,
369,5,Huy?n,L?ng Giang,"Huy?n L?ng Giang, B?c Giang",,,,,,,,,,,,,,,,,,,,
370,5,Huy?n,L?c Nam,"Huy?n L?c Nam, B?c Giang",,,,,,,,,,,,,,,,,,,,
371,5,Huy?n,L?c Ng?n,"Huy?n L?c Ng?n, B?c Giang",,,,,,,,,,,,,,,,,,,,
372,5,Huy?n,S?n ??ng,"Huy?n S?n ??ng, B?c Giang",,,,,,,,,,,,,,,,,,,,
373,5,Huy?n,Tân Yên,"Huy?n Tân Yên, B?c Giang",,,,,,,,,,,,,,,,,,,,
374,5,Huy?n,Vi?t Yên,"Huy?n Vi?t Yên, B?c Giang",,,,,,,,,,,,,,,,,,,,
375,5,Huy?n,Yên D?ng,"Huy?n Yên D?ng, B?c Giang",,,,,,,,,,,,,,,,,,,,
376,5,Huy?n,Yên Th?,"Huy?n Yên Th?, B?c Giang",,,,,,,,,,,,,,,,,,,,
377,27,Huy?n,Cao Phong,"Huy?n Cao Phong, Hoà Bình",,,,,,,,,,,,,,,,,,,,
378,27,Huy?n,?à B?c,"Huy?n ?à B?c, Hoà Bình",,,,,,,,,,,,,,,,,,,,
379,27,Thành ph?,Hòa Bình,"Thành ph? Hòa Bình, Hoà Bình",,,,,,,,,,,,,,,,,,,,
380,27,Huy?n,Kim Bôi,"Huy?n Kim Bôi, Hoà Bình",,,,,,,,,,,,,,,,,,,,
382,27,Huy?n,L?c S?n,"Huy?n L?c S?n, Hoà Bình",,,,,,,,,,,,,,,,,,,,
383,27,Huy?n,L?c Th?y,"Huy?n L?c Th?y, Hoà Bình",,,,,,,,,,,,,,,,,,,,
384,27,Huy?n,L??ng S?n,"Huy?n L??ng S?n, Hoà Bình",,,,,,,,,,,,,,,,,,,,
385,27,Huy?n,Mai Châu,"Huy?n Mai Châu, Hoà Bình",,,,,,,,,,,,,,,,,,,,
386,27,Huy?n,Tân L?c,"Huy?n Tân L?c, Hoà Bình",,,,,,,,,,,,,,,,,,,,
387,27,Huy?n,Yên Th?y,"Huy?n Yên Th?y, Hoà Bình",,,,,,,,,,,,,,,,,,,,
388,66,Huy?n,An Phú,"Huy?n An Phú, An Giang",,,,,,,,,,,,,,,,,,,,
389,66,Thành ph?,Châu ??c,"Thành ph? Châu ??c, An Giang",,,,,,,,,,,,,,,,,,,,
390,66,Huy?n,Châu Phú,"Huy?n Châu Phú, An Giang",,,,,,,,,,,,,,,,,,,,
391,66,Huy?n,Châu Thành,"Huy?n Châu Thành, An Giang",,,,,,,,,,,,,,,,,,,,
392,66,Huy?n,Ch? M?i,"Huy?n Ch? M?i, An Giang",,,,,,,,,,,,,,,,,,,,
393,66,Thành ph?,Long Xuyên,"Thành ph? Long Xuyên, An Giang",,,,,,,,,,,,,,,,,,,,
394,66,Huy?n,Phú Tân,"Huy?n Phú Tân, An Giang",,,,,,,,,,,,,,,,,,,,
395,66,Th? xã,Tân Châu,"Th? xã Tân Châu, An Giang",,,,,,,,,,,,,,,,,,,,
396,66,Huy?n,Tho?i S?n,"Huy?n Tho?i S?n, An Giang",,,,,,,,,,,,,,,,,,,,
397,66,Huy?n,T?nh Biên,"Huy?n T?nh Biên, An Giang",,,,,,,,,,,,,,,,,,,,
398,66,Huy?n,Tri Tôn,"Huy?n Tri Tôn, An Giang",,,,,,,,,,,,,,,,,,,,
399,60,Huy?n,Bình Xuyên,"Huy?n Bình Xuyên, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
400,60,Huy?n,L?p Th?ch,"Huy?n L?p Th?ch, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
401,60,Thành ph?,Thành ph? Phúc Yên,"Thành ph? Phúc Yên, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
402,60,Huy?n,Sông Lô,"Huy?n Sông Lô, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
403,60,Huy?n,Tam ??o,"Huy?n Tam ??o, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
404,60,Huy?n,Tam D??ng,"Huy?n Tam D??ng, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
405,60,Huy?n,V?nh T??ng,"Huy?n V?nh T??ng, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
406,60,Thành ph?,V?nh Yên,"Thành ph? V?nh Yên, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
407,60,Huy?n,Yên L?c,"Huy?n Yên L?c, V?nh Phúc",,,,,,,,,,,,,,,,,,,,
408,51,Huy?n,B?n C?u,"Huy?n B?n C?u, Tây Ninh",,,,,,,,,,,,,,,,,,,,
